word,part_of_speech,category,meaning,question_id, part_of_speech,Category,part_of_practice,example,object,part_of speech
Cultural,PROPN,Technical Term,Relating to Civilization and Arts,61,,,,,,
Organization,PROPN,Organization Name,Formal Group with a Shared Purpose,61,,,,,,
Scientific,PROPN,Technical Term,Relating to the Systematic Study of Nature,61,,,,,,
accord,VERB,,To Agree to Something,61,,,,,,
advance,VERB,,To Progress or Develop,61,,,,,,
aim,VERB,,To Have as a Goal,61,,,,,,
alliance,NOUN,Organization Name,Formal Union or Partnership,61,,,,,,
common,ADJ,,Shared by Many,61,,,,,,
consequence,NOUN,Technical Term,Outcome or Result,61,,,,,,
create,VERB,technical term,establishment of an organization,61,,,,,,
cultural,ADJ,technical term, relating to aspects of human society and its development,61,,,,,,
economic,ADJ,technical term,"relating to finance, industries, trade and wealth",61,,,,,,
educational,ADJ,technical term,associated with the process of learning and teaching,61,,,,,,
environmental,ADJ,technical term, relating to the natural world and its sustainability,61,,,,,,
establish,VERB,technical term,formal creation of an organization,61,,,,,,
growth,NOUN,technical term,expansion and development,61,,,,,,
innovation,NOUN,technical term,"introduction of new ideas, methods, and products",61,,,,,,
international,ADJ,technical term,involving multiple countries or global scope,61,,,,,,
hereby,ADV,,,61,,,,,,
management,NOUN,Technical Term,"Administration, Leadership",61,,,,,,
mankind,NOUN,Individual Name,"Humanity, All People",61,,,,,,
military,ADJ,Organization Name,Armed Forces,61,,,,,,
objective,NOUN,Technical Term,"Goal, Purpose",61,,,,,,
organization,NOUN,Organization Name,"Structure, Group",61,,,,,,
peace,NOUN,Technical Term,"Harmony, Tranquility",61,,,,,,
people,NOUN,Individual Name,"Humans, Individuals",61,,,,,,
political,ADJ,Organization Name,"Governance, Power",61,,,,,,
proclaim,VERB,Technical Term,"Declare, State Publicly",61,,,,,,
protection,NOUN,Technical Term,"Defense, Security",61,,,,,,
purpose,NOUN,technical term,Goal or objective,61,,,,,,
relation,NOUN,technical term,Connection or interaction,61,,,,,,
resource,NOUN,technical term,Available assets or materials,61,,,,,,
scientific,ADJ,technical term,Relating to science or knowledge,61,,,,,,
strength,NOUN,technical term,"Power, capability, or force",61,,,,,,
technological,ADJ,technical term,Relating to technology or innovation,61,,,,,,
text,NOUN,technical term,Written or printed communication,61,,,,,,
"the United Nations Educational,",DET,organization name,Educational institution founded by the UN,61,,,,,,
the United Nations Organization,DET,organization name,Intergovernmental body promoting international cooperation and peace,61,,,,,,
welfare,NOUN,technical term,Well-being or state of prosperity,61,,,,,,
whereof,ADV,technical term,"result, consequence",61,,,,,,
world,NOUN,organization name,global community,61,,,,,,
Organization,PROPN,ORG,International body focused on global issues,62,,,,,,
collaboration,NOUN,Organization Name,Cooperation and joint effort between entities for a common goal,62,,,,,,
contribute,VERB,Technical Term,"To provide something valuable, often to a larger purpose",62,,,,,,
culture,NOUN,Technical Term,Shared beliefs and practices that define a group or society,62,,,,,,
economic,ADJ,Technical Term,"Relating to the production, distribution, and consumption of goods and services",62,,,,,,
accord,VERB,Technical Term,Agreement between parties,62,,,,,,
affirm,VERB,Organization Name,To declare or state something positively and unequivocally.,62,,,,,,
andsecurity,NOUN,Technical Term,Combined concept of safety and security,62,,,,,,
create,VERB,Technical Term,To bring something new into existence,62,,,,,,
distinction,NOUN,Organization Name,A difference or contrast between two or more things.,62,,,,,,
freedom,NOUN,technical term,Human Rights,62,,,,,,
function,NOUN,technical term,Purpose,62,,,,,,
funda-mental,ADJ,technical term,Essential,62,,,,,,
further,VERB,,Promote,62,,,,,,
global,ADJ,technical term,Worldwide,62,,,,,,
health,NOUN,technical term,Well-being,62,,,,,,
human,ADJ,technical term,People,62,,,,,,
international,ADJ,technical term,Between Nations,62,,,,,,
issue,NOUN,,Problem,62,,,,,,
justice,PROPN,organization name,Fairness,62,,,,,,
language,NOUN,technical term,Communication,62,,,,,,
law,NOUN,technical term,Legal System,62,,,,,,
manage,VERB,,Administer,62,,,,,,
nation,NOUN,organization name,Country,62,,,,,,
order,NOUN,technical term,Structure,62,,,,,,
peace,NOUN,,Harmony,62,,,,,,
people,NOUN,individual name,Population,62,,,,,,
policy,NOUN,technical term,Regulation,62,,,,,,
primary,ADJ,,Main,62,,,,,,
promote,VERB,,Advance,62,,,,,,
purpose,NOUN,technical term,"Goal, objective",62,,,,,,
race,NOUN,technical term,Ethnicity,62,,,,,,
regulate,VERB,technical term,"Control, govern",62,,,,,,
religion,NOUN,technical term,Belief system,62,,,,,,
right,NOUN,technical term,"Just claim, entitlement",62,,,,,,
rule,NOUN,technical term,"Law, principle",62,,,,,,
science,NOUN,technical term,Systematic study,62,,,,,,
security,NOUN,technical term,"Safety, protection",62,,,,,,
sex,NOUN,technical term,Biological distinction,62,,,,,,
text,NOUN,technical term,Written work,62,,,,,,
the United Nations,DET,Organization Name,Global organization promoting international cooperation,62,,,,,,
trade,NOUN,Technical Term,"Economic exchange between nations, often regulated internationally",62,,,,,,
universal,ADJ,Technical Term,Applicable to all people and nations without exception,62,,,,,,
world,NOUN,Organization Name,"Global community, encompassing all nations and peoples",62,,,,,,
theCharter,PROPN,Organization Name,International governing body,62,,,,,,
througheducation,NOUN,Technical Term,A method of promoting understanding and cooperation between nations,62,,,,,,
Organization,PROPN,Organization Name,Group of individuals united for a common purpose,63,,,,,,
affirm,VERB,,To state or assert something positively,63,,,,,,
agreement,NOUN,,A mutual arrangement or accord between parties,63,,,,,,
aim,VERB,,To have as a goal or objective,63,,,,,,
alliance,NOUN,,A union or partnership for common purposes,63,,,,,,
andsecurity,NOUN,,Interdependence and protection,63,,,,,,
collaboration,NOUN,,Joint effort or working together,63,,,,,,
contribute,VERB,,To give or supply something to a common purpose,63,,,,,,
court,NOUN,,A judicial body or tribunal,63,,,,,,
create,VERB,,To bring something into existence,63,,,,,,
culture,NOUN,technical term,"shared beliefs, customs, practices",63,,,,,,
distinction,NOUN,technical term,"difference, separation",63,,,,,,
education,NOUN,technical term,knowledge acquisition and learning,63,,,,,,
establish,VERB,Technical Term,to create or set up something,63,,,,,,
freedom,NOUN,technical term,"liberty, autonomy",63,,,,,,
function,NOUN,Technical Term,"purpose, activity",63,,,,,,
funda-mental,ADJ,technical term,"basic, essential",63,,,,,,
further,VERB,,to advance or promote something,63,,,,,,
global,ADJ,Technical Term,"worldwide, international",63,,,,,,
human,ADJ,Technical Term,relating to people,63,,,,,,
international,ADJ,technical term,Global relations,63,,,,,,
justice,PROPN,organization name,"Fairness, legal system",63,,,,,,
language,NOUN,technical term,Communication,63,,,,,,
law,NOUN,technical term,System of rules,63,,,,,,
military,ADJ,organization name,Armed forces,63,,,,,,
nation,NOUN,organization name,Country,63,,,,,,
order,NOUN,technical term,"Structure, Organization",63,,,,,,
peace,NOUN,technical term,Absence of conflict,63,,,,,,
people,NOUN,organization name,"Citizens, Human population",63,,,,,,
promote,VERB,technical term,"Encourage, Support",63,,,,,,
purpose,NOUN,technical term,goal or objective,63,,,,,,
race,NOUN,individual name,human ethnicity,63,,,,,,
religion,NOUN,technical term,belief system,63,,,,,,
right,NOUN,technical term,entitlement or privilege,63,,,,,,
rule,NOUN,technical term,regulation or law,63,,,,,,
science,NOUN,technical term,systematic study of the natural world,63,,,,,,
security,NOUN,technical term,safety or protection,63,,,,,,
sex,NOUN,individual name,biological difference between males and females,63,,,,,,
the Organization,DET,organization name,a group or entity that promotes peace and security,63,,,,,,
the United Nations,DET,organization name,an international organization dedicated to maintaining global peace and security,63,,,,,,
theCharter,PROPN,Organization Name,Governing Document,63,,,,,,
througheducation,NOUN,Technical Term,Mechanism for Promoting Peace,63,,,,,,
trade,NOUN,Technical Term,Economic Cooperation,63,,,,,,
universal,ADJ,Higher-Level Concept,Global,63,,,,,,
world,NOUN,Higher-Level Concept,Geopolitical Entity,63,,,,,,
Justice,PROPN,Technical Term,"Legal System, Morality",64,,,,,,
Organization,PROPN,Organization Name,"Group, Institution",64,,,,,,
accord,VERB,Technical Term,"Agreement, Harmony",64,,,,,,
affirm,VERB,Technical Term,"Declare, Support",64,,,,,,
alliance,NOUN,Technical Term,"Union, Coalition",64,,,,,,
andsecurity,NOUN,Technical Term,"Protection, Safety",64,,,,,,
collaboration,NOUN,Technical Term,"Cooperation, Teamwork",64,,,,,,
contribute,VERB,Technical Term,"Give, Donate",64,,,,,,
culture,NOUN,Technical Term,"Beliefs, Values",64,,,,,,
distinction,NOUN,Technical Term,"Difference, Recognition",64,,,,,,
economic,ADJ,technical term,Finance,64,,,,,,
environmental,ADJ,technical term,"Ecology, Sustainability",64,,,,,,
freedom,NOUN,higher-level concept,"Liberty, Autonomy",64,,,,,,
function,NOUN,technical term,"Process, Activity",64,,,,,,
funda-mental,ADJ,higher-level concept,"Basic, Primary",64,,,,,,
further,"VERB, ADJ",higher-level concept,"Progress, Advancement",64,,,,,,
growth,NOUN,technical term,"Development, Expansion",64,,,,,,
human,ADJ,higher-level concept,"Sentient Being, Society",64,,,,,,
innovation,NOUN,technical term,"Invention, Progress",64,,,,,,
justice,PROPN,higher-level concept,"Fairness, Equity",64,,,,,,
language,NOUN,technical term,Communication,64,,,,,,
law,NOUN,technical term,System of rules,64,,,,,,
management,NOUN,organization name,administration,64,,,,,,
military,ADJ,organization name,Armed forces,64,,,,,,
nation,NOUN,organization name,Country,64,,,,,,
order,NOUN,technical term,Structure,64,,,,,,
peace,NOUN,concept,Harmony,64,,,,,,
people,NOUN,organization name,Group of individuals,64,,,,,,
political,ADJ,concept,Governmental,64,,,,,,
principle,NOUN,concept,Fundamental belief,64,,,,,,
promote,VERB,organization name,Advancing cooperation and collective action,64,,,,,,
protection,NOUN,technical term,Safeguarding essential elements or values,64,,,,,,
purpose,NOUN,technical term,Goal or objective,64,,,,,,
race,NOUN,organization name,Diverse cultural or ethnic group,64,,,,,,
religion,NOUN,technical term,Belief system or faith,64,,,,,,
resource,NOUN,technical term,Available assets or materials,64,,,,,,
respect,NOUN,organization name,Appreciation and consideration for others,64,,,,,,
right,NOUN,general term,Ethical entitlement or privilege,64,,,,,,
rule,NOUN,technical term,Guideline or regulation,64,,,,,,
science,NOUN,general term,Systematic study of the natural world,64,,,,,,
seek,VERB,,to strive for or attempt to attain a goal,64,,,,,,
sex,NOUN,,the distinguishing characteristics of males and females,64,,,,,,
strength,NOUN,,the quality or state of being strong; power,64,,,,,,
technological,ADJ,technical term,relating to the application of science and technology to practical activities,64,,,,,,
text,NOUN,,written or printed matter,64,,,,,,
the United Nations,DET,organization name,an international organization formed in 1945 to promote peace and cooperation among nations,64,,,,,,
theCharter,PROPN,,"likely a reference to the United Nations Charter,  a founding document outlining principles and goals of the organization",64,,,,,,
througheducation,NOUN,,using education as a means to achieve a goal,64,,,,,,
universal,ADJ,,applying to or affecting all people; worldwide,64,,,,,,
world,NOUN,,the global community of people and nations,64,,,,,,
Preamble,NOUN,organization name,Foundation,65,,,,,,
accord,VERB,technical term,Achieve Agreement,65,,,,,,
act,NOUN,organization name,Performance,65,,,,,,
advancement,NOUN,technical term,Progress,65,,,,,,
advent,NOUN,technical term,Arrival,65,,,,,,
aspiration,NOUN,technical term,Desire,65,,,,,,
barbarous,ADJ,technical term,Brutal,65,,,,,,
being,NOUN,individual name,Existence,65,,,,,,
belief,NOUN,technical term,Conviction,65,,,,,,
common,ADJ,technical term,Shared,65,,,,,,
compel,VERB,technical term,Force or Obligate,65,,,,,,
conscience,NOUN,technical term,Moral Sense,65,,,,,,
contempt,NOUN,technical term,Disdain or Scorn,65,,,,,,
development,NOUN,technical term,Progress or Advancement,65,,,,,,
dignity,NOUN,technical term,Worth or Honor,65,,,,,,
disregard,NOUN,technical term,Neglect or Ignore,65,,,,,,
economic,ADJ,technical term,Relating to Economics,65,,,,,,
enjoy,VERB,technical term,Experience Pleasure,65,,,,,,
equal,ADJ,technical term,Same or Equivalent,65,,,,,,
essential,ADJ,technical term,Crucial or Necessary,65,,,,,,
family,NOUN,organization name,Collective group of humans,65,,,,,,
fear,NOUN,,Emotional state of anxiety and apprehension,65,,,,,,
foundation,NOUN,,Fundamental base or principle,65,,,,,,
freedom,NOUN,,State of liberty and autonomy,65,,,,,,
friendly,ADJ,,Characterized by warmth and goodwill,65,,,,,,
have,VERB,,To possess or own,65,,,,,,
high,ADJ,,Elevated in position or degree,65,,,,,,
human,ADJ,,'Pertaining to humans',65,,,,,,
inalienable,ADJ,,Cannot be taken away or transferred,65,,,,,,
inherent,ADJ,,"Existing as a permanent, essential characteristic",65,,,,,,
justice,NOUN,higher-level concept,concept related to fairness and righteousness,65,,,,,,
last,ADJ,higher-level concept,concept of finality or ultimateness,65,,,,,,
law,NOUN,higher-level concept,concept related to rules and regulations,65,,,,,,
mankind,NOUN,higher-level concept,concept of all human beings collectively,65,,,,,,
military,ADJ,organizational name,organization involved in warfare and defense,65,,,,,,
nation,NOUN,higher-level concept,concept of a group of people sharing a common culture and territory,65,,,,,,
oppression,NOUN,higher-level concept,concept of unjust and cruel treatment or control,65,,,,,,
outrage,VERB,higher-level concept,action expressing extreme anger or indignation,65,,,,,,
man,NOUN,Individual Name,Human Being,65,,,,,,
member,NOUN,Organization Name,Part of a Group,65,,,,,,
peace,NOUN,technical term,State of tranquility and harmony,65,,,,,,
people,NOUN,organization name,Collective of human beings,65,,,,,,
proclaim,VERB,technical term,To formally announce or declare,65,,,,,,
promote,VERB,technical term,To advance or foster,65,,,,,,
prosperity,NOUN,technical term,State of economic well-being and progress,65,,,,,,
protect,VERB,technical term,To safeguard or defend,65,,,,,,
rebellion,NOUN,technical term,Armed resistance against authority,65,,,,,,
recognition,NOUN,technical term,Acknowledgement or identification,65,,,,,,
recognize,VERB,technical term,To acknowledge or identify (something),65,,,,,,
recourse,NOUN,technical term,A means of seeking help or resolving a problem,65,,,,,,
relation,NOUN,technical term,The connection between concepts or things,65,,,,,,
resort,NOUN,organization name,A place for vacation or leisure,65,,,,,,
result,VERB,,To achieve a consequence,65,,,,,,
right,NOUN,,A fundamental entitlement or privilege,65,,,,,,
rule,NOUN,,A principle that guides behavior,65,,,,,,
speech,NOUN,technical term,The act of communicating through language,65,,,,,,
strength,NOUN,,Physical or mental power,65,,,,,,
technological,ADJ,technical term,Relating to technology,65,,,,,,
text,NOUN,,Written or printed communication,65,,,,,,
tyranny,NOUN,,Oppressive power or rule,65,,,,,,
want,VERB,Technical Term,Desire for something,65,,,,,,
world,NOUN,Organization Name,Global community,65,,,,,,
Preamble,PROPN,Organization Name,"Introduction, Foundation",66,,,,,,
accord,VERB,Technical Term,Agreement,66,,,,,,
act,NOUN,Technical Term,"Action, Behavior",66,,,,,,
advent,NOUN,Technical Term,"Arrival, Beginning",66,,,,,,
aspiration,NOUN,Higher Level Concept,"Aim, Desire",66,,,,,,
barbarous,ADJ,Higher Level Concept,"Cruel, Savage",66,,,,,,
being,NOUN,Technical Term,"Existence, Individual",66,,,,,,
belief,NOUN,Higher Level Concept,"Opinion, Conviction",66,,,,,,
common,ADJ,Technical Term,"Shared, General",66,,,,,,
compel,VERB,Technical Term,"Force, Convince",66,,,,,,
contempt,"NOUN, VERB",technical term,"Lack of respect, disregard",66,,,,,,
development,NOUN,technical term,"Progress, advancement",66,,,,,,
dignity,NOUN,technical term,"Worth, respect, honor",66,,,,,,
disregard,NOUN,technical term,"Ignore, disrespect",66,,,,,,
downturn,NOUN,technical term,"Decline, recession",66,,,,,,
economic,ADJ,technical term,Relating to the economy,66,,,,,,
equal,ADJ,technical term,"Same, equivalent",66,,,,,,
essential,ADJ,technical term,"Necessary, crucial",66,,,,,,
enjoy,VERB,,,66,,,,,,
conscience,NOUN,technical term,Moral sense or awareness,66,,,,,,
family,NOUN,organization name,A group of related people,66,,,,,,
fear,NOUN,technical term,A strong feeling of anxiety or unease,66,,,,,,
foundation,NOUN,technical term,The base upon which something is built,66,,,,,,
freedom,NOUN,technical term,"The power or right to act, speak, or think as one wants without hindrance.",66,,,,,,
friendly,ADJ,technical term,Characterized by kindness and good will,66,,,,,,
have,VERB,technical term,To possess or own something,66,,,,,,
high,ADJ,technical term,Measured above ground level or compared to others with a high value,66,,,,,,
human,ADJ,technical term,Of or relating to people,66,,,,,,
inalienable,ADJ,technical term,Not able to be taken away or given up,66,,,,,,
inherent,ADJ,technical term,"Existing as a natural, inseparable part of something.",66,,,,,,
instability,NOUN,technical term,Political or social disorder,66,,,,,,
justice,NOUN,higher-level concept,Fairness and righteousness in the treatment of others,66,,,,,,
last,ADJ,higher-level concept,Final or ultimate,66,,,,,,
law,NOUN,technical term,System of rules governing behavior,66,,,,,,
man,NOUN,individual name,Member of the human race,66,,,,,,
mankind,NOUN,higher-level concept,All humans collectively,66,,,,,,
member,NOUN,higher-level concept,Individual belonging to a group,66,,,,,,
nation,NOUN,organization name,Group of people sharing a common culture and territory,66,,,,,,
oppression,NOUN,higher-level concept,Cruel or unjust treatment,66,,,,,,
outrage,VERB,technical term,"To cause great anger, shock, or indignation",66,,,,,,
peace,NOUN,technical term,a state of freedom from war or disturbance,66,,,,,,
people,NOUN,organization name,"the common people, the population",66,,,,,,
political,ADJ,technical term,relating to government or political affairs,66,,,,,,
proclaim,VERB,technical term,"to announce something publicly, especially in a formal way",66,,,,,,
promote,VERB,technical term,to encourage or assist the development,66,,,,,,
protect,VERB,technical term,"to shield from harm, injury, or destruction",66,,,,,,
rebellion,NOUN,organization name,an act or instance of resisting authority,66,,,,,,
recognition,NOUN,technical term,the action of recognizing something or someone; an acknowledgment or acceptance of something as valid,66,,,,,,
recourse,NOUN,technical term,a course of action available to address a problem,66,,,,,,
relation,NOUN,technical term,"the way in which two or more people, things, or ideas are connected or related",66,,,,,,
resort,NOUN,Technical Term,"A last resort, an extreme measure",66,,,,,,
result,VERB,Technical Term,To bring about as an outcome or consequence,66,,,,,,
right,NOUN,Organization Name,"An entitlement to something, a legal protection",66,,,,,,
rule,NOUN,Technical Term,A principle or regulation governing conduct,66,,,,,,
setback,NOUN,Technical Term,A temporary delay or reversal of progress,66,,,,,,
speech,NOUN,Organization Name,The act of communicating verbally,66,,,,,,
technological,ADJ,Technical Term,Relating to technology or its applications,66,,,,,,
text,NOUN,Technical Term,Written or printed words,66,,,,,,
tyranny,NOUN,Organization Name,Unjust or cruel government or rule,66,,,,,,
want,VERB,Technical Term,To desire or need something,66,,,,,,
world,NOUN,technical term,Global,66,,,,,,
Preamble,NOUN,organization name,"Introduction, Beginning",67,,,,,,
act,NOUN,technical term,"Action, Deed",67,,,,,,
advent,NOUN,technical term,"Arrival, Coming",67,,,,,,
aspiration,NOUN,technical term,"Desire, Ambition",67,,,,,,
barbarous,ADJ,technical term,"Primitive, Cruel",67,,,,,,
being,NOUN,individual name,"Person, Existence",67,,,,,,
belief,NOUN,technical term,"Conviction, Faith",67,,,,,,
common,ADJ,technical term,"Shared, General",67,,,,,,
compel,VERB,technical term,"Force, Drive",67,,,,,,
conscience,NOUN,technical term,"Morality, Awareness",67,,,,,,
contempt,NOUN,Technical Term,Expression for societal issue,67,,,,,,
development,NOUN,Technical Term,Process of societal improvement,67,,,,,,
dignity,NOUN,Technical Term,Foundational human concept,67,,,,,,
disregard,NOUN,Technical Term,Neglect of societal values,67,,,,,,
economic,ADJ,Technical Term,Factor influencing societal structure,67,,,,,,
equal,ADJ,Technical Term,Fundamental societal principle,67,,,,,,
essential,ADJ,Technical Term,Necessary for societal functioning,67,,,,,,
family,NOUN,Technical Term,Social unit,67,,,,,,
fear,NOUN,Technical Term,Factor inhibiting societal progress,67,,,,,,
enjoy,VERB,,,67,,,,,,
force,NOUN,technical term,"Power, influence",67,,,,,,
foundation,NOUN,technical term,"Base, principle upon which something is built",67,,,,,,
freedom,NOUN,concept,"Liberty, autonomy",67,,,,,,
friendly,ADJ,concept,"Favorable, hospitable",67,,,,,,
global,ADJ,concept,"International, worldwide",67,,,,,,
high,ADJ,concept,"Elevated, significant",67,,,,,,
human,ADJ,concept,Relating to humankind,67,,,,,,
inalienable,ADJ,concept,"Unwaivable, fundamental",67,,,,,,
inherent,ADJ,concept,"Essential, intrinsic",67,,,,,,
have,VERB,technical term,to possess or own something,67,,,,,,
justice,NOUN,technical term,moral fairness,67,,,,,,
last,ADJ,technical term,"final, ultimate",67,,,,,,
law,NOUN,technical term,system of rules,67,,,,,,
mankind,NOUN,organization name,all humanity,67,,,,,,
military,ADJ,organization name,armed forces,67,,,,,,
nation,NOUN,organization name,country,67,,,,,,
oppression,NOUN,high-level concept,cruel or unjust exercise of power,67,,,,,,
outrage,VERB,high-level concept,to cause disgust or anger,67,,,,,,
man,NOUN,individual name,"Human being, referring to all members of humanity",67,,,,,,
member,NOUN,organization name,Represents a person belonging to a group or organization.,67,,,,,,
peace,NOUN,Technical Term,Desired state of absence of conflict,67,,,,,,
people,NOUN,Individual Name,Large group of humans,67,,,,,,
prevent,VERB,Technical Term,Stop something from happening,67,,,,,,
proclaim,VERB,Technical Term,Officially state something,67,,,,,,
promote,VERB,Technical Term,Encourage or support something,67,,,,,,
promotion,NOUN,Technical Term,Action of advancing or supporting something,67,,,,,,
protect,VERB,Technical Term,Safeguard something from harm,67,,,,,,
protection,NOUN,Technical Term,Action of safeguarding something from harm,67,,,,,,
rebellion,NOUN,Technical Term,"Act of resisting authority, especially violently",67,,,,,,
recognition,NOUN,Technical Term,Acknowledgement or acceptance of something,67,,,,,,
recourse,NOUN,technical term, recours to something as a last option in difficult situations,67,,,,,,
relation,NOUN,organization name,relating to the connection between individuals or  groups,67,,,,,,
resort,NOUN,technical term, going or using a place or thing as a last resort,67,,,,,,
result,VERB,technical term,to produce something as a consequence of an action or process,67,,,,,,
right,NOUN,technical term,an entitlement or legal privilege guaranteed by law,67,,,,,,
rule,NOUN,organization name,a regulation or established standard of behavior,67,,,,,,
speech,NOUN,technical term,"the act of communicating through words, either spoken or written",67,,,,,,
state,NOUN,organization name,a particular condition or situation,67,,,,,,
strong,ADJ,technical term,possessing great power or intensity,67,,,,,,
text,NOUN,technical term,written or printed matter,67,,,,,,
trade,NOUN,technical term,commerce and exchange of goods and services internationally.,67,,,,,,
tyranny,NOUN,organization name,an oppressive and cruel government or regime that exercises absolute power.,67,,,,,,
want,VERB,organization name,to lack something considered essential.,67,,,,,,
world,NOUN, organization name,the global community or sphere of human existence.,67,,,,,,
Preamble,NOUN,Technical Term,Introduction to a formal document,68,,,,,,
accord,VERB,,"Agreement, consent",68,,,,,,
act,NOUN,Technical Term,A deed or action,68,,,,,,
advent,NOUN,technical term,"Arrival, beginning of something new",68,,,,,,
aspiration,NOUN,,"Ambition, desire",68,,,,,,
barbarous,ADJ,,"Cruel, uncivilized",68,,,,,,
being,NOUN,,"Existence, living creature",68,,,,,,
belief,NOUN,,"Opinion, trust",68,,,,,,
common,ADJ,,"Shared, general",68,,,,,,
compel,VERB,,"Force, oblige",68,,,,,,
conscience,NOUN,technical term,Moral sense,68,,,,,,
contempt,NOUN,technical term,"Disdain, disrespect",68,,,,,,
development,NOUN,technical term,"Growth, progress",68,,,,,,
dignity,NOUN,technical term,"Worth, respect",68,,,,,,
disregard,NOUN,technical term,"Neglect, disrespect",68,,,,,,
economic,ADJ,technical term,Relating to the economy,68,,,,,,
enjoy,VERB,None,To experience pleasure or satisfaction from something,68,,,,,,
equal,ADJ,technical term,"Same, equivalent",68,,,,,,
essential,ADJ,technical term,"Necessary, crucial",68,,,,,,
family,NOUN,organization name,Group of related individuals living together,68,,,,,,
fear,NOUN,Technical Term,Negative Emotion,68,,,,,,
foundation,NOUN,Technical Term,Base or Origin,68,,,,,,
freedom,NOUN,Technical Term,Liberty and Autonomy,68,,,,,,
friendly,ADJ,Technical Term,Positive Social Interaction,68,,,,,,
have,VERB,Technical Term,Possession or Experience,68,,,,,,
high,ADJ,Technical Term,Great Degree or Intensity,68,,,,,,
human,ADJ,Technical Term,Relating to People,68,,,,,,
inalienable,ADJ,Technical Term,Inherent and Unchangeable,68,,,,,,
inherent,ADJ,Technical Term,Naturally Possessed or Existing,68,,,,,,
justice,NOUN,Technical Term,Fairness and Equity,68,,,,,,
last,ADJ,technical term,the ultimate or final stage,68,,,,,,
law,NOUN,technical term,a system of rules and regulations enforced by a governing body,68,,,,,,
man,NOUN,individual name,a male human being,68,,,,,,
mankind,NOUN,organization name,all of humanity,68,,,,,,
member,NOUN,technical term,a part of a whole,68,,,,,,
military,ADJ,individual name,relating to the armed forces,68,,,,,,
nation,NOUN,organization name,a sovereign state,68,,,,,,
oppression,NOUN,technical term,cruel or unjust treatment,68,,,,,,
outrage,VERB,technical term,"to provoke feelings of anger, indignation, or disgust",68,,,,,,
peace,NOUN,individual name,"a state of harmony, tranquility, and freedom from disturbance",68,,,,,,
people,NOUN,individual name,Groups of humans,68,,,,,,
political,ADJ,technical term,Related to governing or state,68,,,,,,
power,NOUN,technical term,Ability to influence or control,68,,,,,,
proclaim,VERB,,To publicly announce or declare,68,,,,,,
promote,VERB,,To encourage or support the growth or development of something,68,,,,,,
prosperity,NOUN,higher-level concept,State of economic well-being and success,68,,,,,,
protect,VERB,,To shield or defend from harm,68,,,,,,
rebellion,NOUN,higher-level concept,Act of armed resistance against a government or authority,68,,,,,,
recognition,NOUN,higher-level concept,"Acknowledgement of someone or something as being real, valid, or important",68,,,,,,
recognize,VERB,,To identify someone or something,68,,,,,,
recourse,NOUN,technical term,Action taken in difficult situations,68,,,,,,
relation,NOUN,technical term,Connection or association between things or people,68,,,,,,
resort,NOUN,technical term,Place of refuge or entertainment,68,,,,,,
result,VERB,technical term,Achieve a particular outcome,68,,,,,,
right,NOUN,technical term,Moral or legal entitlement,68,,,,,,
rule,NOUN,technical term,Principle or regulation governing behavior,68,,,,,,
speech,NOUN,technical term,Verbal communication,68,,,,,,
strength,NOUN,technical term,Power or ability,68,,,,,,
text,NOUN,technical term,Written or printed matter,68,,,,,,
tyranny,NOUN,technical term,Oppressive government or rule,68,,,,,,
want,VERB,Technical Term,"Desire, Need",68,,,,,,
world,NOUN,Organization Name,Global Society,68,,,,,,
Preamble,PROPN,Organization Name,Introduction to a legal document or treaty,69,,,,,,
act,NOUN,Technical Term,"Action, deed",69,,,,,,
advancement,NOUN,Technical Term,"Progress, development",69,,,,,,
advent,NOUN,Technical Term,"Arrival, beginning",69,,,,,,
agreement,NOUN,Organization Name,"Treaty, pact",69,,,,,,
aspiration,NOUN,Technical Term,"Aim, desire",69,,,,,,
barbarous,ADJ,Technical Term,"Cruel, inhumane",69,,,,,,
being,NOUN,Technical Term,"Existence, creature",69,,,,,,
belief,NOUN,Technical Term,"Conviction, faith",69,,,,,,
common,ADJ,Technical Term,"Shared, widespread",69,,,,,,
compel,VERB,technical term,Force or Obligate,69,,,,,,
conscience,NOUN,technical term,"Morality, Ethics",69,,,,,,
contempt,NOUN,technical term,"Disdain, Disrespect",69,,,,,,
development,NOUN,technical term,"Growth, Advancement",69,,,,,,
dignity,NOUN,technical term,"Worth, Respect",69,,,,,,
diplomatic,ADJ,technical term,"Negotiation, Foreign Policy",69,,,,,,
disregard,NOUN,technical term,"Ignoring, Neglecting",69,,,,,,
downturn,NOUN,technical term,Economic Decline,69,,,,,,
economic,ADJ,technical term,"Finance, Trade",69,,,,,,
enjoy,VERB,technical term,Experience Pleasure,69,,,,,,
equal,ADJ,technical term,Equality as a fundamental right,69,,,,,,
essential,ADJ,technical term,Crucial for the functioning of society,69,,,,,,
family,NOUN,organization name,A unit of social connection based on kinship,69,,,,,,
freedom,NOUN,technical term,The ability to act and make choices without restraint,69,,,,,,
friendly,ADJ,technical term,Marked by positive social interaction and goodwill,69,,,,,,
human,ADJ,technical term,Characterizing the nature of being human,69,,,,,,
foundation,NOUN,"Organization Name, Technical Term",Base upon which something is built,69,,,,,,
fear,NOUN,Technical Term,Emotion related to danger or apprehension,69,,,,,,
have,VERB,Technical Term,Possession or experience something ,69,,,,,,
