word,part_of_speech,category,meaning,question_id, word,source_text,text,source,meaning ,_meaning,"},   {",recently,rock,say
freedom,NOUN,higher-level concept,"Liberty, autonomy",20231201_6,,,,,,,,,,
fund,NOUN,organization name,Financial institution,20231201_6,,,,,,,,,,
give,VERB,,"Provide, bestow",20231201_6,,,,,,,,,,
group,NOUN,higher-level concept,Collection of individuals or entities,20231201_6,,,,,,,,,,
independence,NOUN,higher-level concept,"Self-governance, autonomy",20231201_6,,,,,,,,,,
investment,NOUN,technical term,Financial asset allocation,20231201_6,,,,,,,,,,
joint,ADJ,,"Collaborative, shared",20231201_6,,,,,,,,,,
magazine,NOUN,organization name,Periodical publication,20231201_6,,,,,,,,,,
make,VERB,,"Create, construct",20231201_6,,,,,,,,,,
middle Eastern,ADJ,location,Geographic region,20231201_6,,,,,,,,,,
newspaper,NOUN,Organization Name,Media Outlet,20231201_6,,,,,,,,,,
oman,NOUN,GPE,Country in the Middle East,20231201_6,,,,,,,,,,
own,VERB,,Possess or Have Control,20231201_6,,,,,,,,,,
paper,NOUN,Organization Name,News Print Publication,20231201_6,,,,,,,,,,
president,NOUN,Individual Name,Head of State,20231201_6,,,,,,,,,,
press,NOUN,Organization Name,Media Institutions,20231201_6,,,,,,,,,,
restriction,NOUN,,Limitation or Control,20231201_6,,,,,,,,,,
take,VERB,,Gain Control or Possession,20231201_6,,,,,,,,,,
the Daily Telegraph,DET,Organization Name,News Publication,20231201_6,,,,,,,,,,
the Spectator,DET,Organization Name,Magazine,20231201_6,,,,,,,,,,
threat,NOUN,Technical Term,Risk to Independence,20231201_6,,,,,,,,,,
vice,NOUN,Technical Term,Position of Authority,20231201_6,,,,,,,,,,
ASA,PROPN,ORG,Regulatory Body,20240112_9,,,,,,,,,,
Advertising Standards Authority,PROPN,ORG,Regulatory Body,20240112_9,,,,,,,,,,
Calvin Klein,PROPN,ORG,Fashion Brand,20240112_9,,,,,,,,,,
FKA twig,PROPN,PERSON,Musician,20240112_9,,,,,,,,,,
Janelle Monáe,PROPN,PERSON,Musician,20240112_9,,,,,,,,,,
Jeremy Allen White,PROPN,PERSON,Actor,20240112_9,,,,,,,,,,
Jorja Smith,PROPN,PERSON,Musician,20240112_9,,,,,,,,,,
Rita Ora,PROPN,PERSON,Musician,20240112_9,,,,,,,,,,
UK,PROPN,GPE,Country,20240112_9,,,,,,,,,,
ad,NOUN,,Advertisement,20240112_9,,,,,,,,,,
advertising,NOUN,organization name,Industry related to promotion and marketing,20240112_9,,,,,,,,,,
ban,VERB,,To prohibit or forbid something,20240112_9,,,,,,,,,,
campaign,NOUN,technical term,Planned series of promotional activities,20240112_9,,,,,,,,,,
clothe,VERB,,To dress or cover someone or something,20240112_9,,,,,,,,,,
come,VERB,,To arrive or occur,20240112_9,,,,,,,,,,
complaint,NOUN,,Expression of dissatisfaction or grievance,20240112_9,,,,,,,,,,
double,ADJ,,Twice as much as usual quantity,20240112_9,,,,,,,,,,
featuring,NOUN,technical term,Including or prominently showcasing someone or something,20240112_9,,,,,,,,,,
image,NOUN,,Visual representation or mental picture,20240112_9,,,,,,,,,,
object,NOUN,,"A thing, person, or entity targeted by an action",20240112_9,,,,,,,,,,
objectified,ADJ,technical term,Representation of women in a dehumanizing manner,20240112_9,,,,,,,,,,
singer,NOUN,individual name,A person who performs music,20240112_9,,,,,,,,,,
sexual,ADJ,technical term,Relating to sex or sexuality,20240112_9,,,,,,,,,,
ruling,NOUN,technical term,A decision or judgment,20240112_9,,,,,,,,,,
present,VERB,,to show,20240112_9,,,,,,,,,,
receive,VERB,,to get or accept information,20240112_9,,,,,,,,,,
respond,VERB,,to react to something,20240112_9,,,,,,,,,,
reveal,VERB,,to make known or visible,20240112_9,,,,,,,,,,
scantily,ADV,,dressing minimally,20240112_9,,,,,,,,,,
standard,NOUN,Technical Term,a level of quality expected,20240112_9,,,,,,,,,,
star,VERB,Technical Term,Performing Arts,20240112_9,,,,,,,,,,
stereotypical,ADJ,Organization Name,Perceptions of groups,20240112_9,,,,,,,,,,
two,NUM,CARDINAL,Quantity/Number,20240112_9,,,,,,,,,,
wake,NOUN,Technical Term,Timeframe,20240112_9,,,,,,,,,,
woman,NOUN,Individual Name,Gender Identity,20240112_9,,,,,,,,,,
2011,NUM,DATE,Year,20240112_1,,,,,,,,,,
30,NUM,CARDINAL,Quantity,20240112_1,,,,,,,,,,
40,NUM,CARDINAL,Quantity,20240112_1,,,,,,,,,,
50,NUM,CARDINAL,Quantity,20240112_1,,,,,,,,,,
60,NUM,CARDINAL,Quantity,20240112_1,,,,,,,,,,
8 January 1984,NUM,DATE,Specific Date,20240112_1,,,,,,,,,,
Kim Jong Il,PROPN,PERSON,Political Figure,20240112_1,,,,,,,,,,
Kim Jong Un,PROPN,PERSON,Political Figure,20240112_1,,,,,,,,,,
North Korea,PROPN,GPE,Country,20240112_1,,,,,,,,,,
North Korea's Kim Jong Un,PROPN,GPE,Nation and its Leader,20240112_1,,,,,,,,,,
bear,VERB,,,20240112_1,,,,,,,,,,
believe,VERB,,,20240112_1,,,,,,,,,,
big,ADJ,,,20240112_1,,,,,,,,,,
birthday,NOUN,,,20240112_1,,,,,,,,,,
celebrate,VERB,,,20240112_1,,,,,,,,,,
confirm,VERB,,,20240112_1,,,,,,,,,,
date,NOUN,,,20240112_1,,,,,,,,,,
death,NOUN,,,20240112_1,,,,,,,,,,
exact,ADJ,,,20240112_1,,,,,,,,,,
father,NOUN,,,20240112_1,,,,,,,,,,
hermit,ADJ,technical term,"Isolated country, isolated lifestyle",20240112_1,,,,,,,,,,
leader,NOUN,individual name,"Person in charge, ruler",20240112_1,,,,,,,,,,
state,NOUN,organization name,"Political entity, government",20240112_1,,,,,,,,,,
supreme,ADJ,technical term,"Highest rank, ultimate authority",20240112_1,,,,,,,,,,
never,ADV,none,Indicates a state of negation or continuous lack of an action.,20240112_1,,,,,,,,,,
this week,DET,DATE,Specifies a timeframe relative to the present moment.,20240112_1,,,,,,,,,,
Burning,PROPN,Organization Name,"Culture, Art Event, Annual Gathering",20231222_11,,,,,,,,,,
Coachella,PROPN,Organization Name,Music Festival,20231222_11,,,,,,,,,,
Lollapalooza,NOUN,Organization Name,Music Festival,20231222_11,,,,,,,,,,
Man,PROPN,Organization Name,"Culture, Art Event, Annual Gathering",20231222_11,,,,,,,,,,
Nevada,PROPN,GPE,State,20231222_11,,,,,,,,,,
a few day,DET,DATE,Time Period,20231222_11,,,,,,,,,,
able,ADJ,,Capable,20231222_11,,,,,,,,,,
ankle-deep,NOUN,,"Depth, Measurement",20231222_11,,,,,,,,,,
attendee,NOUN,,"Participant, Festival Goer",20231222_11,,,,,,,,,,
bonnaroo,NOUN,organization name,Music Festival,20231222_11,,,,,,,,,,
burn,VERB,,To be consumed by fire.,20231222_11,,,,,,,,,,
campsite,NOUN,,Place to set up a temporary shelter,20231222_11,,,,,,,,,,
desert,NOUN,,Arid region with little vegetation,20231222_11,,,,,,,,,,
dry,VERB,,To remove moisture from,20231222_11,,,,,,,,,,
festival,NOUN,organization name,"Event with music, performances, and food",20231222_11,,,,,,,,,,
have,VERB,,To possess or experience,20231222_11,,,,,,,,,,
leave,VERB,,to depart from a place,20231222_11,,,,,,,,,,
mud,NOUN,,"Wet, sticky soil",20231222_11,,,,,,,,,,
name,NOUN,,A word that identifies someone or something,20231222_11,,,,,,,,,,
overwhelm,VERB,TECHNICAL TERM,to have an intense emotional or physical effect on someone,20231222_11,,,,,,,,,,
rain,NOUN,TECHNICAL TERM,water falling from the clouds,20231222_11,,,,,,,,,,
reopen,VERB,TECHNICAL TERM,to open something again after it has been closed,20231222_11,,,,,,,,,,
road,NOUN,TECHNICAL TERM,"a path for travel by foot, vehicle, or other means",20231222_11,,,,,,,,,,
strand,VERB,TECHNICAL TERM,to leave (people) in a difficult situation,20231222_11,,,,,,,,,,
ten of thousand,NOUN,CARDINAL,a large number,20231222_11,,,,,,,,,,
thing,NOUN,TECHNICAL TERM,"object, item, or concept",20231222_11,,,,,,,,,,
torrential,ADJ,TECHNICAL TERM,very heavy,20231222_11,,,,,,,,,,
wait,VERB,TECHNICAL TERM,to remain patiently until something happens,20231222_11,,,,,,,,,,
#,NOUN,CARDINAL,Topic/Subject of Discussion,20240112_4,,,,,,,,,,
10 December,NUM,DATE,Specific Time and Date,20240112_4,,,,,,,,,,
Fred Olsen,PROPN,PERSON,Company/Organization Name,20240112_4,,,,,,,,,,
Miami,PROPN,GPE,Location,20240112_4,,,,,,,,,,
Princess,PROPN,ORGANIZATION,Company/Organization Name,20240112_4,,,,,,,,,,
Royal Caribbean,PROPN,ORG,Company/Organization Name,20240112_4,,,,,,,,,,
Serenade of the Seas,PROPN,WORK_OF_ART,Cruise Ship,20240112_4,,,,,,,,,,
TikTok,PROPN,ORG,Social Media Platform,20240112_4,,,,,,,,,,
Ultimate World Cruise,PROPN,ORG,Cruise Line/Travel Company,20240112_4,,,,,,,,,,
Virgin Voyages,PROPN,PERSON,Company/Organization Name,20240112_4,,,,,,,,,,
activity,NOUN,technical term,actions or events in a social situation,20240112_4,,,,,,,,,,
call,VERB,organization name,requesting attention or action,20240112_4,,,,,,,,,,
company,NOUN,organization name,business entity engaged in commercial activities,20240112_4,,,,,,,,,,
cruise,NOUN,technical term,journey by sea for pleasure or recreation,20240112_4,,,,,,,,,,
drama,NOUN,technical term,event or situation characterized by tension and conflict,20240112_4,,,,,,,,,,
dub,VERB,organization name,to pronounce or give sound to (a recording or movie),20240112_4,,,,,,,,,,
favourite,ADJ,technical term,most liked or admired,20240112_4,,,,,,,,,,
flood,VERB,technical term,to overwhelm with a large quantity of something,20240112_4,,,,,,,,,,
hashtag,NOUN,technical term,symbol or word preceded by the symbol # used to categorize social media posts,20240112_4,,,,,,,,,,
have,VERB,organization name,to possess or control something,20240112_4,,,,,,,,,,
operator,NOUN,organization name,Company or business,20240112_4,,,,,,,,,,
platform,NOUN,technical term,Social Media Platform,20240112_4,,,,,,,,,,
potential,ADJ,,Possible future outcomes or events,20240112_4,,,,,,,,,,
reality,NOUN,technical term,Simulated experience,20240112_4,,,,,,,,,,
medium,NOUN,Technical Term,Size classification,20240112_4,,,,,,,,,,
new,ADJ,,Recent or recently introduced,20240112_4,,,,,,,,,,
now,ADV,,At the present time,20240112_4,,,,,,,,,,
operate,VERB,,Function or run,20240112_4,,,,,,,,,,
post,NOUN,,Online content,20240112_4,,,,,,,,,,
hundred of million,NOUN,MONEY,Amount of money,20240112_4,,,,,,,,,,
sail,VERB,Technical Term,Movement of a vessel across water,20240112_4,,,,,,,,,,
set,VERB,Technical Term,"Initiate a journey,",20240112_4,,,,,,,,,,
ship,NOUN,Technical Term,Vessel for water travel,20240112_4,,,,,,,,,,
show,NOUN,Technical Term,Program or spectacle for viewing,20240112_4,,,,,,,,,,
social,ADJ,Category,Relating to interaction and relationships within groups,20240112_4,,,,,,,,,,
tiktok,NOUN,Organization Name,Platform for video sharing,20240112_4,,,,,,,,,,
track,VERB,Technical Term,Monitor or observe progress,20240112_4,,,,,,,,,,
ultimateworldcruise,NOUN,Organization Name,Brand name of a global journey,20240112_4,,,,,,,,,,
view,NOUN,Technical Term,Act of observation or perception,20240112_4,,,,,,,,,,
world,NOUN,Category,Global sphere encompassing all countries and peoples,20240112_4,,,,,,,,,,
15.74,NUM,MONEY,monetary value,20240105_12,,,,,,,,,,
16.28,NUM,MONEY,monetary value,20240105_12,,,,,,,,,,
2024,NUM,DATE,year,20240105_12,,,,,,,,,,
22,NUM,CARDINAL,quantity,20240105_12,,,,,,,,,,
Washington,PROPN,GPE,US state,20240105_12,,,,,,,,,,
Colorado,PROPN,GPE,US state,20240105_12,,,,,,,,,,
Florida,PROPN,GPE,US state,20240105_12,,,,,,,,,,
Oregon,PROPN,GPE,US state,20240105_12,,,,,,,,,,
have,VERB,individual name,To possess or control something,20240105_12,,,,,,,,,,
high,ADJ,Technical Term,Relating to a greater or more significant amount or level,20240105_12,,,,,,,,,,
minimum,"NOUN, ADJ",Technical Term,Wage Floor,20240105_12,,,,,,,,,,
state,NOUN,Organization Name,Government Entity,20240105_12,,,,,,,,,,
this week,DET,DATE,Point in Time,20240105_12,,,,,,,,,,
total,NOUN,,Aggregate Amount,20240105_12,,,,,,,,,,
wage,NOUN,Technical Term,Compensation for Labor,20240105_12,,,,,,,,,,
now,ADV,,,20240105_12,,,,,,,,,,
raise,VERB,,,20240105_12,,,,,,,,,,
up,ADV,,,20240105_12,,,,,,,,,,
state‘s,NOUN,organization name,"U.S. State Government, Political Jurisdiction",20240105_12,,,,,,,,,,
23andMe,NOUN,ORG,Genetic testing company,20231208_12,,,,,,,,,,
CNN,PROPN,ORG,News organization,20231208_12,,,,,,,,,,
LinkedIn,PROPN,ORG,Professional networking platform,20231208_12,,,,,,,,,,
Netflix,PROPN,ORG,Streaming entertainment service,20231208_12,,,,,,,,,,
access,VERB,,Gaining entry or use,20231208_12,,,,,,,,,,
account,NOUN,,User profile with permissions,20231208_12,,,,,,,,,,
ancestry,NOUN,,Family history and origins,20231208_12,,,,,,,,,,
birth,NOUN,,The beginning of life,20231208_12,,,,,,,,,,
code,NOUN,TECHNICAL TERM,Instructions for a computer,20231208_12,,,,,,,,,,
company,NOUN,organization name,Business enterprise,20231208_12,,,,,,,,,,
customer,NOUN,individual name,Person who purchases goods or services,20231208_12,,,,,,,,,,
firm,NOUN,organization name,Company or business,20231208_12,,,,,,,,,,
genetic,ADJ,technical term,Relating to genes or heredity,20231208_12,,,,,,,,,,
hack,NOUN,technical term,Unauthorized access to computer systems,20231208_12,,,,,,,,,,
hacker,NOUN,individual name,Person who engages in hacking,20231208_12,,,,,,,,,,
include,VERB,,Contain as a part,20231208_12,,,,,,,,,,
investigate,VERB,,Examine something closely to uncover information,20231208_12,,,,,,,,,,
involve,VERB,,Engage in or be part of,20231208_12,,,,,,,,,,
million,NOUN,CARDINAL,A large number,20231208_12,,,,,,,,,,
spokesperson,NOUN,Individual Name,Company Representative,20231208_12,,,,,,,,,,
testing,VERB,,Analysis Procedure,20231208_12,,,,,,,,,,
user,NOUN,Organization Name,Customer,20231208_12,,,,,,,,,,
profile,NOUN,organization name,Personal Information,20231208_12,,,,,,,,,,
reddit,NOUN,ORGANIZATION NAME,Social Media Platform,20231208_12,,,,,,,,,,
zip,NOUN,,,20231208_12,,,,,,,,,,
report,VERB,,,20231208_12,,,,,,,,,,
tell,VERB,,,20231208_12,,,,,,,,,,
year,NOUN,DATE,,20231208_12,,,,,,,,,,
crisis,NOUN,technical term,Mental health emergencies,20231103_16,,,,,,,,,,
expert,NOUN,individual name,A person with specialized knowledge or skill in a particular field,20231103_16,,,,,,,,,,
far,ADV,,Significant distance,20231103_16,,,,,,,,,,
full,ADJ,,"Complete, entire",20231103_16,,,,,,,,,,
2022,NUM,DATE,Year,20231103_16,,,,,,,,,,
988,NUM,CARDINAL,Crisis Line Number,20231103_16,,,,,,,,,,
303,NUM,CARDINAL,Crisis Line Number,20231103_16,,,,,,,,,,
377,NUM,CARDINAL,Crisis Line Number,20231103_16,,,,,,,,,,
922,NUM,CARDINAL,Crisis Line Number,20231103_16,,,,,,,,,,
US,PROPN,GPE,Country,20231103_16,,,,,,,,,,
health,NOUN,technical term,Well-being,20231103_16,,,,,,,,,,
launch,NOUN,technical term,Commencement,20231103_16,,,,,,,,,,
line,NOUN,technical term,Communication channel,20231103_16,,,,,,,,,,
mental,ADJ,technical term,Pertaining to the mind,20231103_16,,,,,,,,,,
million,NOUN,CARDINAL,Large quantity,20231103_16,,,,,,,,,,
potential,NOUN,technical term,Capacity for development,20231103_16,,,,,,,,,,
resource,NOUN,technical term,Accessible aid,20231103_16,,,,,,,,,,
new,ADJ,,,20231103_16,,,,,,,,,,
reach,VERB,,,20231103_16,,,,,,,,,,
say,VERB,,,20231103_16,,,,,,,,,,
show,NOUN,technical term,Demonstration of information/results,20231103_16,,,,,,,,,,
study,NOUN,individual name,Research process investigating a topic,20231103_16,,,,,,,,,,
use,VERB,organization name,Employing a method or resource for a purpose,20231103_16,,,,,,,,,,
AI-generated,ADJ,technical term,Artificial intelligence content creation,20231117_16,,,,,,,,,,
Facebook,PROPN,organization name,Social Media Platform,20231117_16,,,,,,,,,,
Google,PROPN,organization name,"Search Engine, Technology Company",20231117_16,,,,,,,,,,
Instagram,PROPN,organization name,Social Media Platform,20231117_16,,,,,,,,,,
YouTube,PROPN,organization name,Video Sharing Platform,20231117_16,,,,,,,,,,
artificial,ADJ,technical term,"Created by machines, not humans",20231117_16,,,,,,,,,,
company,NOUN,organization name,Business Entity,20231117_16,,,,,,,,,,
contain,VERB,,To hold or include,20231117_16,,,,,,,,,,
content,NOUN,,"Information, Material",20231117_16,,,,,,,,,,
disclosure,NOUN,,Revealing Information,20231117_16,,,,,,,,,,
generate,VERB,technical term,Creation of digital content,20231117_16,,,,,,,,,,
intelligence,NOUN,technical term,Computational capabilities,20231117_16,,,,,,,,,,
label,VERB,technical term,Categorization or classification,20231117_16,,,,,,,,,,
mislead,VERB,generic,Deceive or lead astray,20231117_16,,,,,,,,,,
plan,VERB,generic,Strategize or devise a course of action,20231117_16,,,,,,,,,,
realistic,ADJ,technical term,Lifelike or authentic appearance,20231117_16,,,,,,,,,,
require,VERB,generic,Demand or necessitate,20231117_16,,,,,,,,,,
soon,ADV,generic,In the near future,20231117_16,,,,,,,,,,
video,NOUN,technical term,Moving image content,20231117_16,,,,,,,,,,
viewer,NOUN,generic,Person who watches something,20231117_16,,,,,,,,,,
youtube,NOUN,ORG,Video-sharing platform,20231117_16,,,,,,,,,,
34-year-old,NUM,DATE,Age,20240112_3,,,,,,,,,,
Attal,PROPN,PERSON,Political Figure,20240112_3,,,,,,,,,,
Bruno Le Maire,PROPN,PERSON,Political Figure,20240112_3,,,,,,,,,,
Emmanuel Macron,PROPN,PERSON,Political Figure,20240112_3,,,,,,,,,,
France,PROPN,GPE,Country,20240112_3,,,,,,,,,,
Gabriel Attal,PROPN,PERSON,Political Figure,20240112_3,,,,,,,,,,
Julien Denormandie,PROPN,PERSON,Political Figure,20240112_3,,,,,,,,,,
Macron,PROPN,ORG,Political Party/Organization,20240112_3,,,,,,,,,,
appoint,NOUN,TECHNICAL TERM,Government Action,20240112_3,,,,,,,,,,
bid,NOUN,ACTION,Attempt,20240112_3,,,,,,,,,,
education,NOUN,,Academic learning and development,20240112_3,,,,,,,,,,
first,ADV,,Preliminary or initial instance,20240112_3,,,,,,,,,,
flagging,ADJ,,Weakening or declining in strength,20240112_3,,,,,,,,,,
french,ADJ,NORP,"Relating to France or its people, language, or culture",20240112_3,,,,,,,,,,
gay,ADJ,,Attracted to members of the same gender,20240112_3,,,,,,,,,,
history,NOUN,,The study of past events and human experience,20240112_3,,,,,,,,,,
minister,NOUN,ORGANIZATION,A governmental official responsible for a specific department or area,20240112_3,,,,,,,,,,
next,ADJ,,Following in order or succession,20240112_3,,,,,,,,,,
openly,ADV,,"In a manner that is visible, public, and transparent",20240112_3,,,,,,,,,,
choose,VERB,,,20240112_3,,,,,,,,,,
presidency,NOUN,organization name,Government Leadership,20240112_3,,,,,,,,,,
previously,ADV,,In past situations,20240112_3,,,,,,,,,,
prime,ADJ,technical term,Chief Executive,20240112_3,,,,,,,,,,
pundit,NOUN,individual name,Political Analyst,20240112_3,,,,,,,,,,
rejuvenate,VERB,,Make youthful again,20240112_3,,,,,,,,,,
replace,VERB,,Take the place of,20240112_3,,,,,,,,,,
suggest,VERB,,Propose an idea,20240112_3,,,,,,,,,,
youngest-ever,ADV,,Oldest among same category,20240112_3,,,,,,,,,,
Élisabeth Borne,PROPN,individual name,Former Prime Minister of France,20240112_3,,,,,,,,,,
Arts,PROPN,Organization Name,Awards Ceremony,20240112_16,,,,,,,,,,
Barack Obama,PROPN,Individual Name,"Former U.S. President, Narrator",20240112_16,,,,,,,,,,
Bill Clinton,PROPN,Individual Name,Former U.S. President,20240112_16,,,,,,,,,,
Creative,PROPN,Organization Name,Awards Category,20240112_16,,,,,,,,,,
Donald Trump,PROPN,Individual Name,Former U.S. President,20240112_16,,,,,,,,,,
Emmy,PROPN,Organization Name,Awards Ceremony,20240112_16,,,,,,,,,,
George W. Bush,PROPN,Individual Name,Former U.S. President,20240112_16,,,,,,,,,,
Netflix,PROPN,GPE,Streaming Service,20240112_16,,,,,,,,,,
President,PROPN,Job Title,Head of State,20240112_16,,,,,,,,,,
day,NOUN,Time,Period of 24 Hours,20240112_16,,,,,,,,,,
documentary,NOUN,,Media Production about Real-life Events,20240112_16,,,,,,,,,,
former,ADJ,,Previous in Position or Time,20240112_16,,,,,,,,,,
narration,NOUN,,Act of Speaking or Describing a Story,20240112_16,,,,,,,,,,
narrator,NOUN,,Person Who Tells a Story,20240112_16,,,,,,,,,,
outstanding,ADJ,,Exceptional or Very Good,20240112_16,,,,,,,,,,
president,NOUN,Organization Name,Head of State in a Country,20240112_16,,,,,,,,,,
score,VERB,,Achieve Success or Points,20240112_16,,,,,,,,,,
series,NOUN,,Set of Related Episodes or Items,20240112_16,,,,,,,,,,
this week,DET,DATE,Current Week,20240112_16,,,,,,,,,,
do,VERB,,,20240112_16,,,,,,,,,,
win,VERB,Organization Name,Achieve victory in a competition or contest,20240112_16,,,,,,,,,,
work,VERB,Technical Term,Function or Operate,20240112_16,,,,,,,,,,
Springboks,PROPN,ORG,Rugby team,20231103_9,,,,,,,,,,
Rugby World Cup,PROPN,ORG,International Rugby Union tournament,20231103_9,,,,,,,,,,
Paris,PROPN,GPE,City in France,20231103_9,,,,,,,,,,
New Zealand,PROPN,GPE,Country,20231103_9,,,,,,,,,,
arch-rivals,ADJ,,Teams competing closely and intensely against each other,20231103_9,,,,,,,,,,
beat,VERB,,To defeat in competition,20231103_9,,,,,,,,,,
final,ADJ,,The concluding game of a tournament,20231103_9,,,,,,,,,,
five,NUM,CARDINAL,Number,20231103_9,,,,,,,,,,
South Africa,PROPN,Organization Name,Country & national Rugby team,20231103_9,,,,,,,,,,
12-11,NUM,CARDINAL,Score,20231103_9,,,,,,,,,,
record,NOUN,,Achievement or accomplishment,20231103_9,,,,,,,,,,
time,NOUN,,Period of duration,20231103_9,,,,,,,,,,
follow,VERB,,,20231103_9,,,,,,,,,,
four,NUM,CARDINAL,,20231103_9,,,,,,,,,,
hold,VERB,,,20231103_9,,,,,,,,,,
last Saturday's,ADJ,DATE,,20231103_9,,,,,,,,,,
many,ADJ,,,20231103_9,,,,,,,,,,
now,ADV,,,20231103_9,,,,,,,,,,
six,NUM,CARDINAL,,20231103_9,,,,,,,,,,
three,NUM,CARDINAL,,20231103_9,,,,,,,,,,
title,NOUN,organization name,Competition,20231103_9,,,,,,,,,,
total,NOUN,None,Summation of wins,20231103_9,,,,,,,,,,
tournament,NOUN,Organization Name,Event to Determine the Champion,20231103_9,,,,,,,,,,
victory,NOUN,None,Successful Outcome,20231103_9,,,,,,,,,,
win,VERB,None,To Achieve Success,20231103_9,,,,,,,,,,
year,NOUN,DATE,Time Period,20231103_9,,,,,,,,,,
Brienz,PROPN,FAC,Lake,20231103_14,,,,,,,,,,
Europe,PROPN,LOC,Continent,20231103_14,,,,,,,,,,
Tuesday,PROPN,DATE,Day of the Week,20231103_14,,,,,,,,,,
Lake,PROPN,FAC,Body of Water,20231103_14,,,,,,,,,,
Lake Como,PROPN,LOC,Specific Lake,20231103_14,,,,,,,,,,
Lake Geneva,PROPN,FAC,Specific Lake,20231103_14,,,,,,,,,,
Lake Gjende,PROPN,FAC,Specific Lake,20231103_14,,,,,,,,,,
Milan,PROPN,GPE,City,20231103_14,,,,,,,,,,
bank,NOUN,FAC,Edge of a Water Body,20231103_14,,,,,,,,,,
breach,VERB,technical term,"failure of a barrier, usually a dam or embankment, allowing water to flow through",20231103_14,,,,,,,,,,
bring,VERB,technical term,to cause the occurrence of an event (especially a negative one),20231103_14,,,,,,,,,,
cause,VERB,technical term,to be responsible for creating or bringing about something,20231103_14,,,,,,,,,,
central,ADJ,organization name,related to the main part or center of something,20231103_14,,,,,,,,,,
flood,"NOUN, VERB",technical term,"an inundation of water, often causing damage",20231103_14,,,,,,,,,,
heavy,ADJ,technical term,large or sizable in quantity or weight,20231103_14,,,,,,,,,,
impact,VERB,technical term,to have a significant effect on something,20231103_14,,,,,,,,,,
lake,NOUN,organization name,a large body of water surrounded by land,20231103_14,,,,,,,,,,
northern,ADJ,organization name,located in or belonging to the north,20231103_14,,,,,,,,,,
popular,ADJ,individual name,well-liked or supported by a large number of people,20231103_14,,,,,,,,,,
rain,NOUN,technical term,Precipitation,20231103_14,,,,,,,,,,
rapid,ADJ,,Fast,20231103_14,,,,,,,,,,
send,VERB,,Transmit,20231103_14,,,,,,,,,,
storm,NOUN,technical term,Weather Phenomenon,20231103_14,,,,,,,,,,
this week,DET,DATE,Time Frame,20231103_14,,,,,,,,,,
violent,ADJ,,Forceful,20231103_14,,,,,,,,,,
wind,NOUN,technical term,Air Movement,20231103_14,,,,,,,,,,
AI,PROPN,PERSON,Artificial Intelligence,20231208_17,,,,,,,,,,
Barbie,PROPN,PERSON,Doll Model,20231208_17,,,,,,,,,,
ChatGPT,PROPN,ORG,AI Chatbot,20231208_17,,,,,,,,,,
Oppenheimer,PROPN,ORG,Film/Person (associated with Atomic Bomb),20231208_17,,,,,,,,,,
artificial,ADJ,TECHNICAL TERM,Not Naturally Occurring,20231208_17,,,,,,,,,,
chatbot,NOUN,TECHNICAL TERM,AI-powered Conversational Agent,20231208_17,,,,,,,,,,
chatgpt,NOUN,ORG,ChatGPT AI Chatbot,20231208_17,,,,,,,,,,
intelligence,NOUN,TECHNICAL TERM,Ability to Learn and Solve Problems,20231208_17,,,,,,,,,,
interest,NOUN,CONCEPT,State of Being Engaged or Curious,20231208_17,,,,,,,,,,
most-viewed,ADV,,"popularity, trending",20231208_17,,,,,,,,,,
page,NOUN,,web content unit,20231208_17,,,,,,,,,,
reflect,VERB,,"represent, showcase",20231208_17,,,,,,,,,,
this year,DET,DATE,specific timeframe,20231208_17,,,,,,,,,,
view,NOUN,,"access, observation",20231208_17,,,,,,,,,,
viral,ADJ,,"widely spread, popular",20231208_17,,,,,,,,,,
wordle,NOUN,Technical Term,Game,20231208_17,,,,,,,,,,
world,NOUN,,global,20231208_17,,,,,,,,,,
nearly 50 million,Determiner + Adjective + Numeral + Noun,Cardinal,Approximate Number of Views,20231208_17,,,,,,,,,,
Beyoncé,PROPN,ORG,Singer,20231222_15,,,,,,,,,,
Awards,PROPN,ORG,Award Ceremony,20231222_15,,,,,,,,,,
Grammy,PROPN,ORG,Award Ceremony,20231222_15,,,,,,,,,,
Grammy Awards,PROPN,ORG,Award Ceremony,20231222_15,,,,,,,,,,
Renaissance,PROPN,ORG,Album,20231222_15,,,,,,,,,,
18,NUM,TECHNICAL TERM,Number,20231222_15,,,,,,,,,,
25,NUM,TECHNICAL TERM,Number,20231222_15,,,,,,,,,,
32,NUM,CARDINAL,Number,20231222_15,,,,,,,,,,
40,NUM,CARDINAL,Number,20231222_15,,,,,,,,,,
Taylor Swift,PROPN,Individual Name,Music Artist,20231222_15,,,,,,,,,,
album,NOUN,Technical Term,Musical Recording,20231222_15,,,,,,,,,,
blockbuster,ADJ,Technical Term,Highly Successful,20231222_15,,,,,,,,,,
concert,NOUN,Technical Term,Live Musical Performance,20231222_15,,,,,,,,,,
dominate,VERB,,Hold A Superior Position,20231222_15,,,,,,,,,,
entertainment,NOUN,Category,Amusement and Recreation,20231222_15,,,,,,,,,,
film,NOUN,Technical Term,Motion Picture,20231222_15,,,,,,,,,,
headline,NOUN,Technical Term,Primary News Item,20231222_15,,,,,,,,,,
also,ADV,,,20231222_15,,,,,,,,,,
collect,VERB,,,20231222_15,,,,,,,,,,
history,NOUN,technical term,Past events,20231222_15,,,,,,,,,,
